2021-05-07 00:01:24.911  INFO 12056 --- [RMI TCP Connection(2)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2021-05-07 00:01:37.596  INFO 12056 --- [RMI TCP Connection(2)-127.0.0.1] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2021-05-07 00:01:39.520  INFO 12056 --- [RMI TCP Connection(2)-127.0.0.1] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2021-05-07 00:01:39.565  INFO 12056 --- [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown initiated...
2021-05-07 00:01:40.002  INFO 12056 --- [RMI TCP Connection(2)-127.0.0.1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Shutdown completed.
2021-05-07 00:49:28.585  INFO 8900 --- [main] .e.s.SpringBootDataJpaMvcRestApplication : Starting SpringBootDataJpaMvcRestApplication on DESKTOP-BEK3GAM with PID 8900 (C:\Users\21692\Desktop\Nouveau dossier (7)\ProjetMDP\src\main\webapp\WEB-INF\classes started by 21692 in C:\Users\21692\Desktop\Nouveau dossier (7)\ProjetMDP)
2021-05-07 00:49:28.691  INFO 8900 --- [main] .e.s.SpringBootDataJpaMvcRestApplication : No active profile set, falling back to default profiles: default
2021-05-07 00:49:39.262  INFO 8900 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2021-05-07 00:49:39.546  INFO 8900 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 226ms. Found 1 JPA repository interfaces.
2021-05-07 00:49:42.688  INFO 8900 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8040 (http)
2021-05-07 00:49:42.754  INFO 8900 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2021-05-07 00:49:42.754  INFO 8900 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.39]
